NRS/R.Saúde/Município,2010,2011,2012,2013,2014,2015,2016,Total
......Paratinga,1542,1785,1652,1691,1597,1650,1649,11566
...Região de Saúde de Santa Maria da Vitória,11682,11780,11155,11383,12011,11511,12626,82148
......Bom Jesus da Lapa,670,185,79,870,1382,3447,3002,9635
......Canápolis,4,369,339,180,24,199,36,1151
......Cocos,1208,1192,1303,1276,1045,975,1023,8022
......Coribe,859,883,620,870,887,748,744,5611
......Correntina,1598,2260,2184,1988,2196,1548,1874,13648
......Feira da Mata,138,437,154,170,161,192,167,1419
......Jaborandi,930,391,946,1032,891,563,906,5659
......Santa Maria da Vitória,2324,1940,1593,1185,1579,192,1166,9979
......Santana,902,821,734,218,503,356,203,3737
......São Félix do Coribe,400,832,544,651,328,381,686,3822
......Serra do Ramalho,1427,1270,1475,1372,1547,1593,1127,9811
......Serra Dourada,726,736,758,1049,902,797,1083,6051
......Sítio do Mato,496,464,426,522,566,520,609,3603
NRS Sudoeste,79968,82023,78696,70798,64631,56274,67060,499450
...Região de Saúde de Brumado,21056,20586,17498,12477,16582,14247,13811,116257
......Aracatu,722,599,732,753,883,417,651,4757
......Barra da Estiva,1620,1776,1890,1713,1683,1298,1671,11651
......Boquira,1462,1494,1130,1227,979,1161,869,8322
......Botuporã,196,402,824,669,461,542,488,3582
......Brumado,4355,4812,3703,2940,4382,3069,3283,26544
......Caturama,369,459,291,270,351,299,273,2312
......Contendas do Sincorá,245,148,50,46,60,102,145,796
......Dom Basílio,507,536,509,315,690,373,496,3426
......Érico Cardoso,500,374,468,399,234,328,252,2555
......Guajeru,299,569,396,597,374,291,282,2808
......Ibicoara,847,764,586,62,357,566,826,4008
......Ibipitanga,549,675,604,625,637,687,591,4368
......Ituaçu,611,607,408,370,744,405,379,3524
......Jussiape,520,601,553,63,612,384,8,2741
......Livramento de Nossa Senhora,2435,2110,1999,180,2248,1463,1350,11785
......Macaúbas,1882,1408,759,1286,331,100,76,5842
......Malhada de Pedras,668,673,700,32,463,611,501,3648
......Paramirim,799,802,475,1,179,859,602,3717
......Rio de Contas,979,468,645,105,173,512,323,3205
......Rio do Pires,460,215,177,91,196,266,151,1556
......Tanhaçu,1031,1094,599,733,545,514,594,5110
...Região de Saúde de Guanambi,21199,28791,27177,26866,21404,22571,23379,171387
......Caculé,1367,1371,1687,1579,1151,1195,1357,9707
......Caetité,3322,3421,4260,3167,2485,3079,3289,23023
......Candiba,680,544,484,504,405,472,490,3579
......Carinhanha,1131,2378,1480,1619,1894,1730,1928,12160
......Guanambi,3566,6046,5990,5441,4254,5055,5605,35957
......Ibiassucê,672,1174,997,1135,950,702,946,6576
......Igaporã,711,774,945,1146,916,1003,975,6470
......Iuiú,285,334,253,472,351,431,316,2442
......Jacaraci,635,1085,700,821,782,690,738,5451
......Lagoa Real,691,975,946,937,691,576,534,5350
......Licínio de Almeida,672,783,784,566,427,451,507,4190
......Malhada,600,702,833,673,352,387,432,3979
......Matina,427,797,727,912,633,760,593,4849
......Mortugaba,572,1081,908,527,571,533,620,4812
......Palmas de Monte Alto,844,1022,1377,1382,1005,1096,842,7568
......Pindaí,797,1192,491,1029,654,802,598,5563
......Riacho de Santana,1550,2029,1245,1756,1231,1310,1404,10525
......Rio do Antônio,784,944,1047,766,698,569,476,5284
......Sebastião Laranjeiras,600,516,312,692,320,446,473,3359
......Tanque Novo,470,536,567,597,748,651,449,4018
......Urandi,823,1087,1144,1145,886,633,807,6525
...Região de Saúde de Itapetinga,10355,9625,7609,8072,6122,4823,5028,51634
......Caatiba,342,177,170,253,325,220,187,1674
......Firmino Alves,191,203,186,176,4,192,120,1072
......Ibicuí,1114,962,861,978,644,454,353,5366
......Iguaí,1080,981,755,890,782,787,797,6072
......Itambé,1167,1137,798,819,545,530,609,5605
......Itapetinga,2572,2608,2081,2819,2078,1235,1670,15063
......Itarantim,678,401,423,548,368,210,14,2642
......Itororó,1053,991,679,3,14,17,239,2996
......Macarani,664,702,488,648,505,376,440,3823
......Maiquinique,248,252,200,168,131,83,100,1182
......Nova Canaã,815,849,704,485,436,526,323,4138
......Potiraguá,431,362,264,285,290,193,176,2001
...Região de Saúde de Vitória da Conquista,27358,23021,26412,23383,20523,14633,24842,160172
......Anagé,797,877,747,552,361,340,584,4258
......Barra do Choça,759,1038,1128,1006,8,261,1535,5735
......Belo Campo,1068,1265,1201,1280,1025,536,1226,7601
......Bom Jesus da Serra,699,809,699,554,540,300,639,4240
......Caetanos,569,691,531,0,0,2,4,1797
......Cândido Sales,952,1611,1288,424,122,707,773,5877
......Caraíbas,293,182,685,237,219,106,92,1814
......Condeúba,958,743,1133,1190,1297,467,906,6694
......Cordeiros,703,631,762,450,562,372,553,4033
......Encruzilhada,692,699,440,766,597,370,611,4175
......Maetinga,509,514,429,611,477,87,527,3154
......Mirante,548,444,502,572,491,305,440,3302
......Piripá,763,715,795,554,763,364,423,4377
......Planalto,1203,1451,1555,3,407,674,1243,6536
......Poções,1834,1921,2417,2348,1734,987,1587,12828
......Presidente Jânio Quadros,474,504,622,327,562,226,458,3173
......Ribeirão do Largo,426,318,278,0,95,99,118,1334
......Tremedal,980,1020,766,707,937,352,659,5421
......Vitória da Conquista,13131,7588,10434,11802,10326,8078,12464,73823
NRS Sul,60446,64629,55096,45802,40120,37692,31601,335386
...Região de Saúde de Ilhéus,8452,7295,7124,5050,5782,7634,4448,45785
......Arataca,230,234,96,233,277,235,156,1461
......Canavieiras,641,837,442,213,646,1004,286,4069
......Ilhéus,4818,3016,4081,1931,2891,3945,2086,22768
......Itacaré,636,860,435,665,380,405,239,3620
......Mascote,178,324,458,497,339,321,137,2254
......Santa Luzia,420,518,340,303,288,288,127,2284
......Una,859,935,732,809,777,1128,1019,6259
......Uruçuca,670,571,540,399,184,308,398,3070
...Região de Saúde de Itabuna,19871,22566,18086,12731,10768,10027,7262,101311
......Almadina,244,245,52,3,94,49,56,743
......Aurelino Leal,488,343,152,342,48,56,19,1448
......Barro Preto,222,379,259,202,71,9,4,1146
......Buerarema,223,614,1000,589,595,453,343,3817
......Camacan,1117,1329,1441,1068,1138,917,722,7732
......Coaraci,1190,908,892,848,515,550,264,5167
......Floresta Azul,425,333,291,333,200,64,9,1655
......Gongogi,370,474,312,114,261,227,88,1846
......Ibicaraí,991,847,668,268,346,209,13,3342
......Ibirapitanga,710,739,558,8,166,577,641,3399
......Itabuna,8211,9543,7690,5108,4434,4074,2844,41904
......Itaju do Colônia,226,103,161,113,83,100,180,966
......Itajuípe,1467,1957,1243,1161,810,454,339,7431
......Itapé,526,682,165,496,272,115,7,2263
......Itapitanga,261,336,310,168,103,98,31,1307
......Jussari,275,205,289,309,180,126,26,1410
......Maraú,340,321,290,271,97,107,27,1453
......Pau Brasil,451,594,458,578,686,400,368,3535
......Santa Cruz da Vitória,388,388,329,166,148,189,190,1798
......São José da Vitória,224,299,162,12,11,85,70,863
......Ubaitaba,627,680,612,416,217,135,19,2706
......Ubatã,895,1247,752,158,293,1033,1002,5380
...Região de Saúde de Jequié,18886,17799,18395,14132,11909,11711,11229,104061
......Aiquara,154,237,224,147,157,185,52,1156
......Apuarema,382,616,220,16,171,213,229,1847
......Barra do Rocha,417,481,378,343,381,201,301,2502
......Boa Nova,472,494,356,447,465,423,352,3009
......Brejões,950,975,1221,1011,964,893,697,6711
......Cravolândia,281,276,216,160,85,38,59,1115
......Dário Meira,537,445,405,340,259,168,281,2435
......Ibirataia,1342,1315,1421,905,833,858,777,7451
......Ipiaú,2309,3399,3008,1604,1556,1290,1289,14455
......Irajuba,235,173,220,20,151,65,131,995
......Iramaia,623,353,351,123,261,199,190,2100
......Itagi,532,787,496,703,395,326,431,3670
......Itagibá,562,575,669,1018,670,576,453,4523
......Itamari,329,325,222,250,64,102,244,1536
......Itaquara,488,360,438,353,228,304,204,2375
......Itiruçu,262,414,183,299,122,200,109,1589
......Jaguaquara,1276,807,634,873,804,1148,713,6255
......Jequié,4253,2512,4267,2640,2295,1951,2680,20598
......Jitaúna,589,768,692,535,221,468,520,3793
......Lafaiete Coutinho,108,181,144,57,68,100,60,718
......Lajedo do Tabocal,328,202,219,59,198,168,85,1259
......Manoel Vitorino,560,597,540,436,333,576,413,3455
......Maracás,887,552,843,694,611,719,558,4864
......Planaltino,433,422,557,598,351,353,167,2881
......Santa Inês,577,533,471,501,266,187,234,2769
...Região de Saúde de Valença,13237,16969,11491,13889,11661,8320,8662,84229
......Cairu,990,1032,899,921,959,740,510,6051
......Camamu,1065,1403,957,1030,1111,487,826,6879
......Gandu,2535,3315,2521,3370,3212,1537,1194,17684
......Igrapiúna,775,740,704,732,660,728,555,4894
......Ituberá,981,1131,1032,1051,595,236,365,5391
......Nilo Peçanha,578,701,371,520,582,330,496,3578
......Nova Ibiá,335,317,193,311,274,177,253,1860
......Piraí do Norte,194,172,92,63,59,72,250,902
......Taperoá,382,1291,666,784,699,434,591,4847
......Teolândia,553,944,500,455,497,462,569,3980
......Valença,4078,5134,2980,4165,2730,2792,2531,24410
......Wenceslau Guimarães,771,789,576,487,283,325,522,3753
Bahia,666730,673942,616481,437537,399202,388983,395553,3578428
