Macrorregião de Saúde,Região de Saúde,Cod. IBGE,Município,2015-12-01 00:00:00,2016-12-01 00:00:00,2017-12-01 00:00:00,2018-12-01 00:00:00,2019-12-01 00:00:00,2020-12-01 00:00:00
Centro Norte,Irecê,290300,Barra do Mendes,1.0,1.0,1.0,1.0,1.0,1.0
Sul,Jequié,290310,Barra do Rocha,1.0,1.0,1.0,1.0,1.0,1.0
Oeste,Barreiras,290320,Barreiras,0.5213,0.4707,0.5745,0.6328,0.7344,0.7324
Centro Norte,Irecê,290323,Barro Alto,1.0,1.0,1.0,1.0,1.0,1.0
Sul,Itabuna,290330,Barro Preto,1.0,1.0,1.0,1.0,1.0,1.0
Centro Leste,Serrinha,290327,Barrocas,1.0,1.0,1.0,1.0,1.0,1.0
Extremo Sul,Porto Seguro,290340,Belmonte,1.0,1.0,1.0,1.0,1.0,1.0
Sudoeste,Vitória da Conquista,290350,Belo Campo,1.0,1.0,1.0,1.0,1.0,1.0
Centro Leste,Serrinha,290360,Biritinga,1.0,1.0,1.0,1.0,1.0,1.0
Sul,Jequié,290370,Boa Nova,1.0,1.0,1.0,1.0,1.0,1.0
Centro Leste,Itaberaba,290380,Boa Vista do Tupim,1.0,1.0,1.0,1.0,1.0,1.0
Oeste,Santa Maria da Vitória,290390,Bom Jesus da Lapa,0.9946,0.9924,1.0,1.0,1.0,1.0
Sudoeste,Vitória da Conquista,290395,Bom Jesus da Serra,1.0,1.0,1.0,1.0,1.0,1.0
Centro Leste,Seabra,290400,Boninal,0.9524,0.9462,0.9404,0.935,0.9658,0.9605
Centro Leste,Itaberaba,290405,Bonito,1.0,1.0,1.0,1.0,1.0,1.0
Sudoeste,Brumado,290410,Boquira,0.9237,0.9229,0.9221,0.9215,0.8016,0.9624
Sudoeste,Brumado,290420,Botuporã,1.0,1.0,1.0,1.0,1.0,1.0
Sul,Jequié,290430,Brejões,1.0,1.0,1.0,1.0,1.0,1.0
Oeste,Barreiras,290440,Brejolândia,1.0,1.0,1.0,1.0,1.0,0.0
Oeste,Ibotirama,290450,Brotas de Macaúbas,1.0,1.0,1.0,1.0,1.0,1.0
Sudoeste,Brumado,290460,Brumado,0.7824,0.7906,0.8939,0.8913,0.9777,0.9755
Sul,Itabuna,290470,Buerarema,1.0,1.0,1.0,1.0,1.0,1.0
Oeste,Ibotirama,290475,Buritirama,0.8054,0.6404,0.9552,0.4751,0.9826,0.9776
Sudoeste,Itapetinga,290480,Caatiba,1.0,1.0,1.0,1.0,1.0,1.0
Leste,Cruz das Almas,290485,Cabaceiras do Paraguaçu,1.0,1.0,1.0,1.0,1.0,1.0
Leste,Cruz das Almas,290490,Cachoeira,1.0,1.0,1.0,1.0,1.0,1.0
Sudoeste,Guanambi,290500,Caculé,1.0,1.0,1.0,1.0,1.0,1.0
Centro Norte,Jacobina,290510,Caém,1.0,1.0,1.0,1.0,1.0,1.0
Sudoeste,Vitória da Conquista,290515,Caetanos,0.8672,0.8635,1.0,1.0,1.0,1.0
Sudoeste,Guanambi,290520,Caetité,0.7123,0.703,0.6519,0.7578,0.7579,0.7445
Centro Norte,Irecê,290530,Cafarnaum,0.7421,1.0,1.0,1.0,1.0,1.0
Sul,Valença,290540,Cairu,0.9881,1.0,1.0,1.0,1.0,0.7592
Centro Norte,Jacobina,290550,Caldeirão Grande,1.0,1.0,1.0,1.0,0.7805,1.0
Sul,Itabuna,290560,Camacan,1.0,1.0,1.0,1.0,1.0,1.0
Leste,Camaçari,290570,Camaçari,0.7068,0.7746,0.8413,0.821,0.8253,0.6574
Sul,Valença,290580,Camamu,0.8549,0.8522,0.7553,1.0,0.8809,0.8792
Norte,Juazeiro,290590,Campo Alegre de Lourdes,0.6928,0.6914,0.8052,0.4593,1.0,0.9584
Norte,Senhor do Bonfim,290600,Campo Formoso,0.8157,0.6683,0.9482,0.946,1.0,1.0
Oeste,Santa Maria da Vitória,290610,Canápolis,1.0,1.0,1.0,1.0,1.0,1.0
Centro Norte,Irecê,290620,Canarana,1.0,1.0,1.0,1.0,1.0,1.0
Sul,Ilhéus,290630,Canavieiras,0.826,0.8296,0.8331,0.8363,0.992,1.0
Centro Leste,Feira de Santana,290640,Candeal,1.0,1.0,1.0,1.0,1.0,1.0
Leste,Salvador,290650,Candeias,0.6169,0.6942,0.6882,0.8314,0.7563,0.5547
Sudoeste,Guanambi,290660,Candiba,0.709,0.7057,0.7026,0.6997,0.7254,0.4819
Sudoeste,Vitória da Conquista,290670,Cândido Sales,1.0,1.0,1.0,1.0,1.0,1.0
Centro Leste,Serrinha,290680,Cansanção,1.0,1.0,1.0,1.0,1.0,0.9904
Norte,Juazeiro,290682,Canudos,1.0,1.0,1.0,0.9962,1.0,1.0
Centro Leste,Feira de Santana,290685,Capela do Alto Alegre,1.0,1.0,1.0,1.0,1.0,1.0
Centro Norte,Jacobina,290687,Capim Grosso,1.0,1.0,0.9958,0.9891,0.9064,1.0
Sudoeste,Vitória da Conquista,290689,Caraíbas,1.0,1.0,1.0,1.0,1.0,1.0
Extremo Sul,Teixeira de Freitas,290690,Caravelas,1.0,1.0,1.0,1.0,1.0,1.0
Nordeste,Alagoinhas,290700,Cardeal da Silva,1.0,1.0,1.0,1.0,1.0,1.0
Sudoeste,Guanambi,290710,Carinhanha,0.9242,0.9214,1.0,1.0,0.9529,0.5945
Norte,Juazeiro,290720,Casa Nova,0.5307,0.5258,0.9746,0.9342,0.9736,0.9108
Leste,Santo Antônio de Jesus,290730,Castro Alves,1.0,1.0,1.0,1.0,1.0,1.0
Oeste,Barreiras,290740,Catolândia,1.0,1.0,1.0,1.0,1.0,1.0
Nordeste,Alagoinhas,290750,Catu,0.8722,0.6811,0.9235,0.6722,0.9509,0.7568
Sudoeste,Brumado,290755,Caturama,1.0,1.0,1.0,1.0,1.0,1.0
Centro Norte,Irecê,290760,Central,1.0,1.0,1.0,1.0,1.0,1.0
Norte,Paulo Afonso,290770,Chorrochó,1.0,1.0,1.0,1.0,1.0,1.0
Nordeste,Ribeira do Pombal,290780,Cícero Dantas,0.9988,0.8005,0.9977,0.9949,1.0,0.9549
Nordeste,Ribeira do Pombal,290790,Cipó,1.0,1.0,1.0,1.0,1.0,1.0
Sul,Itabuna,290800,Coaraci,1.0,1.0,0.89,1.0,1.0,1.0
Oeste,Santa Maria da Vitória,290810,Cocos,1.0,1.0,1.0,1.0,1.0,1.0
Leste,Cruz das Almas,290820,Conceição da Feira,0.9221,0.9137,1.0,1.0,1.0,1.0
Leste,Santo Antônio de Jesus,290830,Conceição do Almeida,1.0,1.0,1.0,1.0,1.0,1.0
Centro Leste,Serrinha,290840,Conceição do Coité,0.663,0.6581,0.7116,0.7577,0.7818,0.7769
Centro Leste,Feira de Santana,290850,Conceição do Jacuípe,0.8347,1.0,1.0,1.0,1.0,1.0
Leste,Camaçari,290860,Conde,1.0,1.0,1.0,1.0,1.0,1.0
Sudoeste,Vitória da Conquista,290870,Condeúba,1.0,1.0,1.0,1.0,1.0,1.0
Sudoeste,Brumado,290880,Contendas do Sincorá,1.0,1.0,1.0,1.0,1.0,1.0
Centro Leste,Feira de Santana,290890,Coração de Maria,1.0,1.0,1.0,1.0,1.0,1.0
Sudoeste,Vitória da Conquista,290900,Cordeiros,1.0,1.0,1.0,1.0,1.0,1.0
Oeste,Santa Maria da Vitória,290910,Coribe,1.0,1.0,1.0,1.0,1.0,1.0
Nordeste,Ribeira do Pombal,290920,Coronel João Sá,1.0,1.0,1.0,1.0,1.0,1.0
Oeste,Santa Maria da Vitória,290930,Correntina,0.8206,0.8779,0.8159,0.8138,1.0,0.8588
Oeste,Barreiras,290940,Cotegipe,1.0,1.0,1.0,1.0,1.0,1.0
Sul,Jequié,290950,Cravolândia,1.0,1.0,1.0,1.0,1.0,1.0
Nordeste,Alagoinhas,290960,Crisópolis,1.0,1.0,0.9539,1.0,1.0,0.9809
Oeste,Barreiras,290970,Cristópolis,1.0,1.0,1.0,1.0,1.0,1.0
Leste,Cruz das Almas,290980,Cruz das Almas,0.7034,0.7762,0.6948,0.6907,0.7134,0.8183
Norte,Juazeiro,290990,Curaçá,0.8878,0.6859,0.8791,0.8006,1.0,1.0
Sul,Jequié,291000,Dário Meira,1.0,1.0,1.0,1.0,1.0,1.0
Leste,Camaçari,291005,Dias d'Ávila,0.7145,0.834,0.7821,0.7376,0.8625,0.8509
Sudoeste,Brumado,291010,Dom Basílio,1.0,1.0,1.0,0.8212,1.0,1.0
Leste,Santo Antônio de Jesus,291020,Dom Macedo Costa,1.0,1.0,1.0,1.0,1.0,1.0
Leste,Santo Antônio de Jesus,291030,Elísio Medrado,1.0,1.0,1.0,1.0,1.0,1.0
Sudoeste,Vitória da Conquista,291040,Encruzilhada,1.0,1.0,1.0,1.0,1.0,1.0
Nordeste,Alagoinhas,291050,Entre Rios,0.5639,0.8022,0.879,0.878,0.9111,0.8258
Sudoeste,Brumado,290050,Érico Cardoso,1.0,1.0,1.0,1.0,1.0,1.0
Nordeste,Alagoinhas,291060,Esplanada,0.8545,0.8455,0.8373,0.8205,0.7483,0.8338
Centro Leste,Serrinha,291070,Euclides da Cunha,1.0,1.0,1.0,1.0,1.0,1.0
Extremo Sul,Porto Seguro,291072,Eunápolis,0.9238,0.9144,0.9057,0.9238,1.0,1.0
Nordeste,Ribeira do Pombal,291075,Fátima,1.0,1.0,1.0,1.0,1.0,0.7714
Sudoeste,Guanambi,291077,Feira da Mata,1.0,1.0,1.0,1.0,1.0,1.0
Centro Leste,Feira de Santana,291080,Feira de Santana,0.6024,0.6928,0.7037,0.716,0.774,0.6621
Norte,Senhor do Bonfim,291085,Filadélfia,1.0,1.0,1.0,1.0,1.0,1.0
Sudoeste,Itapetinga,291090,Firmino Alves,1.0,1.0,1.0,1.0,1.0,0.6142
Sul,Itabuna,291100,Floresta Azul,1.0,0.9149,1.0,0.9205,1.0,1.0
Oeste,Barreiras,291110,Formosa do Rio Preto,0.8256,0.8584,1.0,1.0,1.0,0.9437
Sul,Valença,291120,Gandu,0.8339,0.8412,0.8356,0.9343,1.0,1.0
Centro Leste,Feira de Santana,291125,Gavião,1.0,1.0,1.0,1.0,1.0,1.0
Centro Norte,Irecê,291130,Gentio do Ouro,1.0,0.9061,1.0,0.8893,1.0,1.0
Norte,Paulo Afonso,291140,Glória,1.0,1.0,1.0,1.0,1.0,1.0
Sul,Itabuna,291150,Gongogi,1.0,1.0,1.0,1.0,1.0,1.0
Leste,Cruz das Almas,291160,Governador Mangabeira,1.0,1.0,1.0,1.0,1.0,0.8324
Sudoeste,Brumado,291165,Guajeru,1.0,1.0,1.0,1.0,1.0,1.0
Sudoeste,Guanambi,291170,Guanambi,0.8581,0.8518,0.8536,1.0,1.0,0.9801
Extremo Sul,Porto Seguro,291180,Guaratinga,1.0,1.0,1.0,1.0,1.0,1.0
Nordeste,Ribeira do Pombal,291185,Heliópolis,1.0,1.0,1.0,1.0,1.0,0.7943
Centro Leste,Itaberaba,291190,Iaçu,1.0,1.0,1.0,1.0,1.0,1.0
Sudoeste,Guanambi,291200,Ibiassucê,1.0,1.0,1.0,1.0,1.0,1.0
Sul,Itabuna,291210,Ibicaraí,1.0,1.0,1.0,1.0,1.0,1.0
Sudoeste,Brumado,291220,Ibicoara,0.8934,0.353,1.0,1.0,1.0,1.0
Sudoeste,Itapetinga,291230,Ibicuí,1.0,1.0,1.0,1.0,1.0,1.0
Centro Norte,Irecê,291240,Ibipeba,1.0,1.0,1.0,1.0,1.0,1.0
Sudoeste,Brumado,291250,Ibipitanga,1.0,1.0,1.0,1.0,1.0,1.0
Centro Leste,Itaberaba,291260,Ibiquera,0.67,0.6689,0.8201,0.8187,0.8533,1.0
Sul,Itabuna,291270,Ibirapitanga,1.0,1.0,1.0,1.0,1.0,1.0
Extremo Sul,Teixeira de Freitas,291280,Ibirapuã,1.0,1.0,1.0,1.0,1.0,1.0
Sul,Jequié,291290,Ibirataia,1.0,0.9612,1.0,1.0,1.0,1.0
Centro Leste,Seabra,291300,Ibitiara,1.0,0.6198,1.0,1.0,1.0,1.0
Centro Norte,Irecê,291310,Ibititá,0.9205,0.9211,0.9606,0.9611,0.8047,1.0
Oeste,Ibotirama,291320,Ibotirama,1.0,1.0,0.9942,0.9906,1.0,1.0
Centro Leste,Feira de Santana,291330,Ichu,1.0,1.0,1.0,1.0,1.0,1.0
Sudoeste,Guanambi,291340,Igaporã,1.0,1.0,1.0,1.0,1.0,1.0
Sul,Valença,291345,Igrapiúna,1.0,1.0,1.0,1.0,1.0,1.0
Sudoeste,Itapetinga,291350,Iguaí,0.8717,0.8691,0.8667,0.8644,0.8988,0.8972
Sul,Ilhéus,291360,Ilhéus,0.3575,0.4135,0.3688,0.5701,0.6957,0.4676
Nordeste,Alagoinhas,291370,Inhambupe,0.9273,0.8432,0.9409,0.9515,1.0,0.8641
Centro Leste,Feira de Santana,291380,Ipecaetá,1.0,1.0,1.0,1.0,1.0,1.0
Sul,Jequié,291390,Ipiaú,0.7122,0.5842,0.7972,0.9307,0.9689,1.0
Centro Leste,Feira de Santana,291400,Ipirá,0.7856,0.7223,0.7153,0.4958,0.6927,0.6368
Oeste,Ibotirama,291410,Ipupiara,1.0,0.3411,1.0,1.0,1.0,1.0
Sul,Jequié,291420,Irajuba,1.0,1.0,1.0,1.0,1.0,1.0
Sul,Jequié,291430,Iramaia,1.0,1.0,1.0,1.0,1.0,1.0
Centro Leste,Seabra,291440,Iraquara,0.9773,0.9658,0.9553,0.9457,1.0,0.9577
Centro Leste,Feira de Santana,291450,Irará,0.6953,1.0,1.0,0.9237,1.0,1.0
Centro Norte,Irecê,291460,Irecê,0.8538,0.8933,0.8728,0.8801,1.0,0.9929
Extremo Sul,Porto Seguro,291465,Itabela,1.0,1.0,1.0,1.0,1.0,1.0
Centro Leste,Itaberaba,291470,Itaberaba,0.8355,0.8845,0.9325,0.8263,0.9654,1.0
Sul,Itabuna,291480,Itabuna,0.5876,0.5788,0.8555,0.7523,0.8257,0.6796
Sul,Ilhéus,291490,Itacaré,1.0,0.9993,1.0,1.0,1.0,1.0
Centro Leste,Itaberaba,291500,Itaeté,1.0,1.0,1.0,1.0,1.0,1.0
Sul,Jequié,291510,Itagi,1.0,1.0,1.0,1.0,1.0,1.0
Sul,Jequié,291520,Itagibá,0.8714,0.6564,0.852,0.8821,0.7035,0.7099
Extremo Sul,Porto Seguro,291530,Itagimirim,1.0,1.0,1.0,1.0,1.0,1.0
Centro Norte,Irecê,291535,Itaguaçu da Bahia,0.9496,0.9409,0.9141,0.9376,0.9643,0.9564
Sul,Itabuna,291540,Itaju do Colônia,1.0,1.0,1.0,1.0,1.0,1.0
Sul,Itabuna,291550,Itajuípe,1.0,1.0,0.954,1.0,1.0,1.0
Extremo Sul,Teixeira de Freitas,291560,Itamaraju,1.0,1.0,1.0,1.0,1.0,1.0
Sul,Jequié,291570,Itamari,1.0,1.0,1.0,1.0,1.0,1.0
Sudoeste,Itapetinga,291580,Itambé,1.0,1.0,1.0,1.0,1.0,1.0
Nordeste,Alagoinhas,291590,Itanagra,1.0,1.0,1.0,1.0,1.0,1.0
Extremo Sul,Teixeira de Freitas,291600,Itanhém,1.0,1.0,1.0,1.0,1.0,1.0
Leste,Salvador,291610,Itaparica,1.0,1.0,1.0,1.0,1.0,0.9313
Sul,Itabuna,291620,Itapé,1.0,1.0,1.0,1.0,1.0,1.0
Extremo Sul,Porto Seguro,291630,Itapebi,1.0,1.0,1.0,1.0,1.0,1.0
Sudoeste,Itapetinga,291640,Itapetinga,0.6406,0.6608,0.5834,0.5785,0.634,0.6343
Nordeste,Alagoinhas,291650,Itapicuru,0.8714,0.8628,0.9375,0.9403,1.0,0.8728
Sul,Itabuna,291660,Itapitanga,1.0,1.0,1.0,1.0,1.0,1.0
Sul,Jequié,291670,Itaquara,1.0,1.0,1.0,1.0,1.0,1.0
Sudoeste,Itapetinga,291680,Itarantim,0.8639,0.8586,0.8537,0.8492,1.0,1.0
Leste,Santo Antônio de Jesus,291685,Itatim,1.0,1.0,1.0,1.0,1.0,1.0
Sul,Jequié,291690,Itiruçu,0.7761,1.0,1.0,1.0,1.0,1.0
Norte,Senhor do Bonfim,291700,Itiúba,0.8981,0.9859,0.92,0.9184,0.9567,0.956
Sudoeste,Itapetinga,291710,Itororó,0.979,0.9774,0.976,1.0,1.0,1.0
Sudoeste,Brumado,291720,Ituaçu,1.0,1.0,1.0,1.0,1.0,1.0
Sul,Valença,291730,Ituberá,0.8347,0.8297,0.825,0.8206,0.9699,0.965
Sudoeste,Guanambi,291733,Iuiú,0.9164,0.9134,0.9106,0.908,0.9436,0.9414
Oeste,Santa Maria da Vitória,291735,Jaborandi,1.0,1.0,1.0,1.0,1.0,1.0
Sudoeste,Guanambi,291740,Jacaraci,1.0,1.0,1.0,1.0,1.0,1.0
Centro Norte,Jacobina,291750,Jacobina,0.7523,0.7676,0.9108,0.8846,1.0,0.9426
Sul,Jequié,291760,Jaguaquara,0.9387,0.9333,0.8664,0.9236,0.9554,1.0
Norte,Senhor do Bonfim,291770,Jaguarari,0.9418,1.0,1.0,1.0,0.9301,1.0
Leste,Santo Antônio de Jesus,291780,Jaguaripe,1.0,1.0,1.0,1.0,1.0,1.0
Nordeste,Alagoinhas,291790,Jandaíra,0.9383,0.9356,0.9331,0.9308,0.9681,1.0
Sul,Jequié,291800,Jequié,0.6949,0.6863,0.7011,0.7315,0.8613,0.6415
Norte,Paulo Afonso,291810,Jeremoabo,0.929,0.9234,1.0,0.9951,1.0,1.0
Leste,Santo Antônio de Jesus,291820,Jiquiriçá,0.9204,0.918,1.0,1.0,1.0,1.0
Sul,Jequié,291830,Jitaúna,1.0,1.0,1.0,1.0,1.0,1.0
Centro Norte,Irecê,291835,João Dourado,0.8315,0.8234,0.814,0.6726,0.8292,0.8218
Norte,Juazeiro,291840,Juazeiro,0.9654,0.9756,0.9943,0.9964,0.9991,0.9393
Extremo Sul,Teixeira de Freitas,291845,Jucuruçu,1.0,1.0,1.0,1.0,1.0,1.0
Centro Norte,Irecê,291850,Jussara,1.0,1.0,0.6466,1.0,1.0,1.0
Sul,Itabuna,291855,Jussari,1.0,1.0,1.0,1.0,1.0,1.0
Sudoeste,Brumado,291860,Jussiape,1.0,1.0,1.0,1.0,1.0,1.0
Sul,Jequié,291870,Lafaiete Coutinho,1.0,1.0,1.0,1.0,1.0,1.0
Sudoeste,Guanambi,291875,Lagoa Real,1.0,1.0,1.0,1.0,1.0,1.0
Leste,Santo Antônio de Jesus,291880,Laje,0.9615,0.9526,1.0,1.0,1.0,1.0
Extremo Sul,Teixeira de Freitas,291890,Lajedão,1.0,1.0,1.0,1.0,1.0,1.0
Centro Leste,Itaberaba,291900,Lajedinho,0.864,0.8681,0.8557,0.8588,0.906,0.912
Sul,Jequié,291905,Lajedo do Tabocal,1.0,1.0,1.0,1.0,1.0,1.0
Centro Leste,Serrinha,291910,Lamarão,1.0,1.0,1.0,1.0,1.0,1.0
Centro Norte,Irecê,291915,Lapão,1.0,1.0,1.0,1.0,1.0,1.0
Leste,Salvador,291920,Lauro de Freitas,0.6654,0.6006,0.7352,0.7696,0.8227,0.7302
Centro Leste,Seabra,291930,Lençóis,1.0,1.0,1.0,0.8895,1.0,1.0
Sudoeste,Guanambi,291940,Licínio de Almeida,1.0,1.0,1.0,1.0,1.0,1.0
Sudoeste,Brumado,291950,Livramento de Nossa Senhora,0.907,0.8993,0.8923,0.8858,0.9121,0.9053
Oeste,Barreiras,291955,Luís Eduardo Magalhães,0.6364,0.5666,0.7176,0.614,0.692,0.6307
Centro Leste,Itaberaba,291960,Macajuba,0.8745,1.0,1.0,1.0,1.0,1.0
Sudoeste,Itapetinga,291970,Macarani,0.927,0.9182,0.9101,0.9027,0.9278,0.9198
Sudoeste,Brumado,291980,Macaúbas,0.8905,0.8834,0.8176,0.9385,0.9672,0.9001
Norte,Paulo Afonso,291990,Macururé,1.0,1.0,1.0,1.0,1.0,1.0
Leste,Salvador,291992,Madre de Deus,0.8631,1.0,1.0,0.8212,1.0,0.6542
Sudoeste,Vitória da Conquista,291995,Maetinga,1.0,1.0,1.0,1.0,1.0,1.0
Sudoeste,Itapetinga,292000,Maiquinique,0.6917,0.6844,0.6776,0.6716,0.6889,0.6824
Centro Norte,Jacobina,292010,Mairi,1.0,1.0,1.0,1.0,1.0,1.0
Sudoeste,Guanambi,292020,Malhada,0.9905,0.9883,0.9862,0.9843,1.0,1.0
Sudoeste,Brumado,292030,Malhada de Pedras,1.0,1.0,1.0,1.0,1.0,1.0
Sul,Jequié,292040,Manoel Vitorino,1.0,1.0,1.0,1.0,1.0,1.0
Oeste,Barreiras,292045,Mansidão,0.9779,1.0,1.0,1.0,1.0,0.7586
Sul,Jequié,292050,Maracás,0.9998,1.0,1.0,1.0,1.0,0.9936
Leste,Cruz das Almas,292060,Maragogipe,0.9014,0.9728,0.9728,0.9695,1.0,1.0
Sul,Itabuna,292070,Maraú,1.0,1.0,1.0,1.0,1.0,1.0
Centro Leste,Itaberaba,292080,Marcionílio Souza,1.0,1.0,1.0,1.0,1.0,1.0
Sul,Ilhéus,292090,Mascote,1.0,1.0,1.0,1.0,1.0,1.0
Leste,Camaçari,292100,Mata de São João,1.0,1.0,1.0,1.0,0.9747,1.0
Sudoeste,Guanambi,292105,Matina,1.0,1.0,1.0,0.8288,1.0,0.8483
Extremo Sul,Teixeira de Freitas,292110,Medeiros Neto,1.0,1.0,1.0,1.0,1.0,1.0
Centro Norte,Jacobina,292120,Miguel Calmon,0.8741,0.877,1.0,0.8775,0.9232,1.0
Leste,Santo Antônio de Jesus,292130,Milagres,1.0,1.0,1.0,1.0,1.0,1.0
Centro Norte,Jacobina,292140,Mirangaba,1.0,1.0,1.0,1.0,1.0,1.0
Sudoeste,Vitória da Conquista,292145,Mirante,1.0,1.0,1.0,1.0,1.0,1.0
Centro Leste,Serrinha,292150,Monte Santo,1.0,1.0,1.0,1.0,1.0,0.9774
Oeste,Ibotirama,292160,Morpará,1.0,1.0,1.0,1.0,1.0,1.0
Centro Norte,Jacobina,292170,Morro do Chapéu,1.0,1.0,1.0,1.0,1.0,1.0
Sudoeste,Guanambi,292180,Mortugaba,1.0,1.0,1.0,1.0,1.0,1.0
Centro Leste,Seabra,292190,Mucugê,1.0,1.0,1.0,1.0,1.0,1.0
Extremo Sul,Teixeira de Freitas,292200,Mucuri,1.0,1.0,1.0,1.0,1.0,1.0
Centro Norte,Irecê,292205,Mulungu do Morro,0.5565,0.5656,0.5675,0.8634,1.0,1.0
Centro Leste,Feira de Santana,292210,Mundo Novo,0.7685,0.762,0.762,0.7565,0.9087,0.9019
Leste,Santo Antônio de Jesus,292220,Muniz Ferreira,1.0,1.0,1.0,1.0,1.0,1.0
Oeste,Ibotirama,292225,Muquém de São Francisco,1.0,1.0,1.0,1.0,1.0,1.0
Leste,Cruz das Almas,292230,Muritiba,1.0,1.0,1.0,0.7884,1.0,1.0
Leste,Santo Antônio de Jesus,292240,Mutuípe,0.9102,0.9066,1.0,1.0,1.0,1.0
Leste,Santo Antônio de Jesus,292250,Nazaré,1.0,1.0,1.0,1.0,1.0,1.0
Sul,Valença,292260,Nilo Peçanha,1.0,1.0,1.0,1.0,1.0,0.9859
Centro Leste,Serrinha,292265,Nordestina,1.0,1.0,1.0,1.0,1.0,1.0
Sudoeste,Itapetinga,292270,Nova Canaã,1.0,1.0,1.0,1.0,1.0,1.0
Centro Leste,Feira de Santana,292273,Nova Fátima,1.0,1.0,1.0,1.0,1.0,1.0
Sul,Valença,292275,Nova Ibiá,1.0,1.0,1.0,1.0,1.0,1.0
Sul,Jequié,292280,Nova Itarana,1.0,1.0,1.0,1.0,1.0,0.8388
Centro Leste,Itaberaba,292285,Nova Redenção,1.0,1.0,1.0,1.0,1.0,1.0
Nordeste,Ribeira do Pombal,292290,Nova Soure,0.5346,0.6672,0.7809,0.6775,1.0,1.0
Extremo Sul,Teixeira de Freitas,292300,Nova Viçosa,0.9683,0.958,0.9485,0.8737,0.9639,0.9544
Centro Leste,Seabra,292303,Novo Horizonte,1.0,1.0,1.0,1.0,1.0,1.0
